nl	en	de	fr	es	cs	hu	pl	sk	it
Graag uw akkoord op bovenstaande bestanden!	Please approve the above files!	Bitte bestätigen Sie die oben genannten Dateien!	Veuiller donner votre accord sur les fichiers !						
Bedankt voor het goedkeuren van de bestanden!	Thank you for appoving the files!	Vielen Dank für Appoving die Dateien!	Merci de approuver les fichier !						
Wij zullen uw afkeuring in behandeling nemen!	We will work on your rejection treatment!	Wir arbeiten an Ihrer Ablehnung Behandlung!	On va traiter votre rejet !						
Er is een bevestigingsmail verstuurd naar:	We send a confirmation mail too:	Wir senden eine Bestätigungs-Mail zu:	Il y une confirmation envoyé à :						
Geef een reden voor het afkeuren van deze bestanden!	Please give a reason for rejection of these files!	Bitte geben Sie einen Grund für die Ablehnung dieser Dateien!	Donnez nous le raison du rejet !						
Opmerking	Remark	Bemerkung	Remarque						
De bestanden zijn akkoord gegeven voor productie!	The files are approved for production!	Die Dateien sind für die Produktion zugelassen!	Les fichiers sont bon à tirer !						
De bestanden zijn afgekeurd voor productie!	The files are rejected for production!	Die Dateien sind für die Produktion abgelehnt!	Les fichiers sont rejeté pour production !						
Zoekwaarde	Search value	Suche wert	Valeure de recherche						
Kwaliteit:	Quality:	Qualität:	Qualité:						
Prijzen	Prices	Preise	Prix						
Productiemethode	Production method	Produktionsart	Méthode de production	Método de producción	Výrobní metoda	Előállítási mód	Metoda produkcji	Výrobná metóda	Metodo di produzione
Pagina's	Pages	Seiten	Pages	páginas	Stránky	Oldalak	Strony	Stránky	Pagine
Materiaal	Material	Material	Matérial	Material	Materiál	Anyag	Materia?	Materiál	Materiale
Kleuren	Colors	Farben	Couleurs	Colores	Barvy	Színek	Kolory	Farby	Colori
Bereken	Calculate	Berechnen	Calculer						
U dient een aantal pagina's in te geven	You must enter a number of pages	Sie müssen eine Anzahl von Seiten eingeben	Vous devez entrer un nombre de pages						
U dient een berekening uit te voeren	You must execute a calculation	Sie müssen eine Berechnung durchführen	Vous devez effectuer un calcul						
Aanvraag offerte	Request quotation	Angebot anfordern	Demander un devis						
